fish_id	genotype	exp_date	sex	length_cm	weight_gr	Min_Time_under_tricaine	dpf	dob	User	Tank_mates	Notes	line	age	inflow_avg_1	inflow_avg_2	inflow_avg_3	outflow_avg_1	outflow_avg_2	outflow_avg_3	HR_1	HR_2	HR_3	Vs_1	Vs_2	Vs_3	Vd_1	Vd_2	Vd_3	As_1	As_2	As_3	Ad_1	Ad_2	Ad_3
f0106	WT	6/1/22	M	3.141	0.321	1899-12-31T08:13:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	141.225834	131.591467	140.238892	-74.576573	-64.758357	-64.828027	175	169.491525	168.776371	0.592404	0.590309	0.445449	0.783408	0.767001	0.460594	0.911393	0.921821	0.707516	1.181946	1.087624	0.837136
f0107	HET	6/1/22	M	2.891	0.297	1899-12-31T08:14:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	207.026348	217.969874	226.093013	-182.538874	-188.682027	-193.947584	171.184023	125	116.788321	0.388933	0.4622	0.536619	0.686006	0.941496	0.781431	0.720157	0.770246	0.910546	1.034907	1.221775	1.178527
f0108	MUT	6/1/22	M	2.707	0.366	1899-12-31T09:00:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	147.883721	135.351229	133.941377	-76.038846	-88.468253	-94.073703	146.878825	165.745856	153.846154	0.582357	0.337568	0.417442	0.730412	0.482086	1.080345	0.892498	0.639022	0.715328	1.0808	0.859351	1.362694
f0109	WT	6/1/22	M	2.825	0.362	1899-12-31T07:05:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	178.051227	173.575422	163.925424	-72.529401	-80.718161	-81.887985	158.415842	162.601626	163.710778	0.424078	0.437376	0.390078	0.784701	0.543118	0.583726	0.752621	0.774759	0.736322	1.211691	0.958462	0.94828
f0110	HET	6/1/22	M	2.931	0.322	1899-12-31T07:32:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	263.483776	258.671201	244.760077				148.331273	164.383562	164.196123	0.490842	0.462348	0.516549	0.737877	0.795416	1.033539	0.878898	0.905384	0.893469	1.125002	1.20338	1.399893
f0111	MUT	6/1/22	M	2.603	0.32	1899-12-31T08:10:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	68.427589	53.764503	66.518827	-57.956378	-69.12229	-66.995433	115.942029	115.384615	89.440994	0.566159	0.521388	0.661623	0.740286	0.670018	0.770051	0.861372	0.74617	0.926139	1.055935	0.865901	0.995126
f0112	WT	6/1/22	M	3.289	0.621	1899-12-31T09:35:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	226.878436	288.147659	283.335294	-106.454377	-110.431833	-95.146045	139.715395	150.564617	106.666667	0.876046	1.168827	1.049505	1.692089	2.264444	2.298351	1.185267	1.489274	1.377122	1.773973	2.302222	2.285749
f0113	WT	6/2/22	M	2.857	0.289	1899-12-31T05:10:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	282.399723	246.038678	259.101149	-272.161136	-268.024198	-273.85093	187.5	171.792153	168.815944	0.730112	0.505766	0.595741	1.156826	1.103596	0.833291	1.048958	0.835706	0.903001	1.396664	1.335469	1.161617
f0114	WT	6/2/22	M	3.016	0.318	1899-12-31T05:15:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	240.02307	234.60895	241.125925	-198.10485	-202.766094		126.649077	130.612245	135.135135	0.410939	0.515015	0.462569	0.743553	0.822468	0.832982	0.735193	0.797847	0.737947	1.031336	1.082113	1.158206
f0115	WT	6/2/22	M	2.773	0.307	1899-12-31T08:20:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	206.23669	205.33408	201.466023	-231.763846	-256.110755	-244.171381	129.554656	122.116689	129.496403	0.627015	0.446137	0.771283	0.798174	0.837646	1.068834	0.940702	0.763778	1.044303	1.153098	1.153442	1.349009
f0116	HET	6/2/22	M	2.78	0.292	1899-12-31T07:00:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	262.681666	268.446757	270.20126	-102.781395	-94.391063	-145.05873	106.508876	105.726872	102.272727	0.578684	0.546001	0.695368	0.844606	0.921668	0.940767	0.869846	0.868751	0.980374	1.166317	1.157502	1.277713
f0117	MUT	6/2/22	M	2.593	0.267	1899-12-31T05:44:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	136.69401	140.453782	126.265231	-144.278815	-137.454894	-136.967407	177.777778	177.121771	176.26322	0.3885	0.487278	0.40515	0.533512	0.68166	0.481174	0.679167	0.755737	0.696036	0.841155	0.989644	0.77402
f0118	WT	6/2/22	M	2.886	0.414	1899-12-31T06:20:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	359.996847	346.434799	355.923588	-270.063391	-265.474896	-322.284374	137.40458	152.380952	141.676505	0.926106	0.71107	0.58995	1.057699	0.961187	1.018914	1.180233	1.024088	0.994855	1.413113	1.32598	1.32371
f0119	HET	6/2/22	M	2.826	0.34	1899-12-31T05:12:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	243.202645	246.339308	258.971937	-195.337073	-201.367626	-197.022661	181.818182	181.61435	178.807947	0.718693	0.723633	0.668296	1.029398	1.06293	0.968177	1.036026	1.07908	1.009275	1.350258	1.343613	1.336586
f0120	MUT	6/2/22	M	2.722	0.255	1899-12-31T08:26:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	202.811993	201.188689	200.018999	-42.700697	-47.195535	-43.262583	162.711864	160.714286	158.092848	0.674541	0.515432	0.507414	0.678161	0.585323	0.794152	0.991844	0.83262	0.747189	1.133198	0.908666	1.071406
f0121	WT	6/2/22	M	2.995	0.332	1899-12-31T04:51:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	406.307617	428.253196	416.65348	-309.954694	-296.06446	-298.249568	156.911582	158.415842	156.862745	0.644391	0.513898	0.564849	0.842831	0.97575	1.095224	0.983257	0.853244	0.915316	1.223375	1.285229	1.347635
f0122	HET	6/2/22	M	2.907	0.341	1899-12-31T06:00:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	231.171203	227.733845	235.210323	-83.903159	-83.903193	-82.404927	173.493976	179.551122	170.940171	0.562638	0.696414	0.638575	0.941255	1.001498	1.018247	0.859291	1.09456	0.973646	1.318905	1.346263	1.334824
f0123	MUT	6/2/22	M	2.473	0.257	1899-12-31T04:21:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	223.179031	218.366682	213.554135	-108.811884	-106.189925	-112.220477	96.514745	95.61753	98.630137	0.409236	0.409711	0.522501	0.676257	0.677772	0.649599	0.730483	0.711038	0.815882	1.024767	1.047052	1.046055
f0124	WT	6/2/22	M	2.801	0.324	1899-12-31T06:47:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	283.736334	296.569532	224.382252	-159.066411	-163.436415	-161.513552	109.223301	92.189501	121.673004	0.772139	0.613531	0.753134	0.846686	0.797118	0.852703	1.173788	1.065303	1.228562	1.329075	1.230922	1.298168
f0125	HET	6/2/22	M	2.777	0.272	1899-12-31T06:03:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	323.339006	332.738425	308.30011	-98.348649	-100.596555	-101.790799	124.675325	112.781955	123.006834	0.384721	0.574091	0.362116	0.774317	0.768512	0.88585	0.713592	0.911494	0.670619	1.052598	1.114955	1.166966
f0075	WT	5/26/22	M	3.279	0.327	1899-12-31T07:26:00Z		2021-10-03T00:00:00Z	Leo			jag2b	8month	94.807776	95.762181	98.307374	-53.766477	-76.431012	-77.695509	151.515152	135.746606	142.011834	0.295567	0.590125	0.457663	0.70998	0.70141	0.616981	0.677038	0.960745	0.845343	1.106893	1.065662	0.989498
f0077	WT	5/26/22	M	3.17	0.48	1899-12-31T05:10:00Z		2021-10-03T00:00:00Z	Leo			jag2b	8month	222.076453	207.968326	211.214838	-214.571017	-224.663424	-228.173679	160	183.206107	159.292035	0.987923	1.030332	1.046132	1.597525	1.367348	1.69332	1.177031	1.221836	1.098665	1.704038	1.501989	1.738615
f0078	WT	5/26/22	M	3.263	0.422	1899-12-31T06:03:00Z		2021-10-03T00:00:00Z	Leo			jag2b	8month	165.742694	170.692948	174.828751	-80.707657	-80.532104	-83.029215	156.862745	143.070045	166.089965	0.503167	0.612778	0.535764	0.837262	1.229345	1.164809	0.866979	0.97118	0.888938	1.175789	1.554016	1.479661
f0079	HET	5/26/22	M	3.44	0.382	1899-12-31T04:53:00Z		2021-10-03T00:00:00Z	Leo			jag2b	8month	168.562455	165.053355	183.288221	-148.305396	-139.838649	-141.399324	121.95122	121.827411	115.532734	0.853002	0.930664	0.884085	1.169549	1.468333	1.142635	1.280848	1.277706	1.267203	1.546435	1.735195	1.520729
f0080	MUT	5/26/22	M	2.736	0.283	1899-12-31T03:22:00Z		2021-10-03T00:00:00Z	Leo			jag2b	8month	166.995861	176.708589	181.811027	-303.39994	-309.720712	-294.425997	158.730159	160.857909	152.059134	0.590162	0.3976	0.504571	0.686561	0.564556	0.940059	0.940565	0.702141	0.841273	1.009016	0.911571	1.304999
f0081	WT	5/26/22	M	3.406	0.632	1899-12-31T05:39:00Z		2021-10-03T00:00:00Z	Leo			jag2b	8month	282.002167	280.039633	271.305146	-247.776813	-225.445035	-233.952395	117.073171	133.928571	124.711316	0.935097	1.035117	1.005705	1.608942	1.545201	1.483565	1.337882	1.423598	1.429901	1.879799	1.818127	1.754266
f0082	HET	5/26/22	M	3.258	0.477	1899-12-31T05:20:00Z		2021-10-03T00:00:00Z	Leo			jag2b	8month	156.068944	167.877506	161.559495	-158.641122	-155.298076	-152.714864	181.15942	185.089974	183.206107	0.593156	0.736643	0.565499	0.866387	1.127486	1.208406	1.003069	1.140688	0.964578	1.251768	1.428209	1.468754
f0083	MUT	5/26/22	M	3.002	0.392	1899-12-31T05:24:00Z		2021-10-03T00:00:00Z	Leo			jag2b	8month	258.134284	252.267526	250.462396	-137.489229	-142.169733	-139.634463	168.539326	170.940171	168.776371	1.131053	0.979133	1.095953	1.490284	1.523311	1.402233	1.441986	1.254156	1.282128	1.563947	1.617136	1.594287
f0084	WT	5/26/22	M	3.262	0.517	1899-12-31T04:28:00Z		2021-10-03T00:00:00Z	Leo			jag2b	8month	219.323826	213.005881	214.923801	-219.046572	-216.472361	-219.748776	119.551681	133.891213	119.205298	0.688727	0.828508	0.883778	1.478733	1.282702	1.117261	1.061052	1.167473	1.220219	1.73405	1.561336	1.51633
f0085	HET	5/26/22	M	3.369	0.5	1899-12-31T05:03:00Z		2021-10-03T00:00:00Z	Leo			jag2b	8month	237.675986	229.187585	233.700421	-184.645021	-179.028485	-175.518148	166.481687	168.028005	187.709497	0.854312	0.747292	0.902469	1.016145	0.929515	1.359449	1.022232	1.062267	1.05255	1.262531	1.2741	1.550208
f0086	MUT	5/26/22	M	3.091	0.458	1899-12-31T05:02:00Z		2021-10-03T00:00:00Z	Leo			jag2b	8month	135.888388	118.432294	124.071928	-229.091396	-232.990912	-224.704543	152.704136	156.087409	174.33414	0.357571	0.659779	0.640949	0.678091	1.118827	0.729728	0.711347	0.93454	0.987956	1.024763	1.383517	1.117318
f0087	WT	5/26/22	M	3.659	0.691	1899-12-31T06:03:00Z		2021-10-03T00:00:00Z	Leo			jag2b	8month	150.390199	146.943826	154.073694	-98.870247	-93.954047	-95.046556	165.390505	164.383562	166.666667	1.405424	1.422521	1.341532	1.564282	1.80589	1.541242	1.574484	1.67923	1.611073	1.750537	1.91784	1.767512
f0088	HET	5/26/22	M	3.323	0.433	1899-12-31T05:22:00Z		2021-10-03T00:00:00Z	Leo			jag2b	8month	239.640903	226.050598	218.349596	-295.832631	-301.930125	-321.009823	188.976378	184.615385	185.328185	0.521059	0.794855	0.724333	0.977476	0.941044	1.080165	0.841913	1.067153	0.958247	1.290801	1.158863	1.229381
f0089	WT	5/26/22	M	3.239	0.558	1899-12-31T05:55:00Z		2021-10-03T00:00:00Z	Leo			jag2b	8month	325.59484	317.824757	326.647563	-187.283856	-184.586947	-175.672271	110.159119	113.065327	128.342246	0.926916	0.927807	1.091419	1.046025	1.575381	1.383743	1.242847	1.271386	1.374184	1.451767	1.754924	1.671971
f0090	HET	5/26/22	M	3.108	0.513	1899-12-31T05:47:00Z		2021-10-03T00:00:00Z	Leo			jag2b	8month	223.949485	207.139135	221.580246	-190.79626	-193.746777	-199.844454	128.755365	128.686327	127.829561	0.971475	0.893014	1.015233	1.284398	1.124495	1.187389	1.079319	1.160651	1.31759	1.44942	1.33859	1.466343
